Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,07/1958,Valentia Observatory,Degrees C,6.7
Lowest Temperature,07/1958,Casement,Degrees C,0
Lowest Temperature,07/1958,Claremorris,Degrees C,3.9
Lowest Temperature,07/1958,Clones,Degrees C,6.1
Lowest Temperature,07/1958,Cork airport,Degrees C,0
Lowest Temperature,07/1958,Dublin airport,Degrees C,6.1
Lowest Temperature,07/1958,Galway,Degrees C,0
Lowest Temperature,07/1958,Kilkenny,Degrees C,4.4
Lowest Temperature,07/1958,Malin head,Degrees C,7.5
Lowest Temperature,07/1958,Mullingar,Degrees C,5.1
Lowest Temperature,07/1958,Roches Point,Degrees C,8.8
Lowest Temperature,07/1958,Rosslare,Degrees C,7.9
Lowest Temperature,07/1958,Shannon airport,Degrees C,5.9
Lowest Temperature,08/1958,Belmullet,Degrees C,8
Lowest Temperature,08/1958,Birr,Degrees C,5.9
Lowest Temperature,08/1958,Valentia Observatory,Degrees C,7.8
Lowest Temperature,08/1958,Casement,Degrees C,0
Lowest Temperature,08/1958,Claremorris,Degrees C,3.9
Lowest Temperature,08/1958,Clones,Degrees C,6.2
Lowest Temperature,08/1958,Cork airport,Degrees C,0
Lowest Temperature,08/1958,Dublin airport,Degrees C,6.7
Lowest Temperature,08/1958,Galway,Degrees C,0
Lowest Temperature,08/1958,Kilkenny,Degrees C,3.9
Lowest Temperature,08/1958,Malin head,Degrees C,8.8
Lowest Temperature,08/1958,Mullingar,Degrees C,6.1
Lowest Temperature,08/1958,Roches Point,Degrees C,8.1
Lowest Temperature,08/1958,Rosslare,Degrees C,7.9
Lowest Temperature,08/1958,Shannon airport,Degrees C,6.2
Lowest Temperature,09/1958,Belmullet,Degrees C,4.8
Lowest Temperature,09/1958,Birr,Degrees C,1.2
Lowest Temperature,09/1958,Valentia Observatory,Degrees C,5.1
Lowest Temperature,09/1958,Casement,Degrees C,0
Lowest Temperature,09/1958,Claremorris,Degrees C,0.9
Lowest Temperature,09/1958,Clones,Degrees C,4.3
Lowest Temperature,09/1958,Cork airport,Degrees C,0
Lowest Temperature,09/1958,Dublin airport,Degrees C,5.6
Lowest Temperature,09/1958,Galway,Degrees C,0
Lowest Temperature,09/1958,Kilkenny,Degrees C,1.1
Lowest Temperature,09/1958,Malin head,Degrees C,8.4
Lowest Temperature,09/1958,Mullingar,Degrees C,2.4
Lowest Temperature,09/1958,Roches Point,Degrees C,7.3
Lowest Temperature,09/1958,Rosslare,Degrees C,8.5
Lowest Temperature,09/1958,Shannon airport,Degrees C,4.9
Lowest Temperature,10/1958,Belmullet,Degrees C,2.7
Lowest Temperature,10/1958,Birr,Degrees C,2.9
Lowest Temperature,10/1958,Valentia Observatory,Degrees C,5.1
Lowest Temperature,10/1958,Casement,Degrees C,0
Lowest Temperature,10/1958,Claremorris,Degrees C,0.9
Lowest Temperature,10/1958,Clones,Degrees C,0.1
Lowest Temperature,10/1958,Cork airport,Degrees C,0
Lowest Temperature,10/1958,Dublin airport,Degrees C,3.6
Lowest Temperature,10/1958,Galway,Degrees C,0
Lowest Temperature,10/1958,Kilkenny,Degrees C,0.6
Lowest Temperature,10/1958,Malin head,Degrees C,5.1
Lowest Temperature,10/1958,Mullingar,Degrees C,2.1
Lowest Temperature,10/1958,Roches Point,Degrees C,5.2
Lowest Temperature,10/1958,Rosslare,Degrees C,3.6
Lowest Temperature,10/1958,Shannon airport,Degrees C,4.4
Lowest Temperature,11/1958,Belmullet,Degrees C,0.1
Lowest Temperature,11/1958,Birr,Degrees C,-1.3
Lowest Temperature,11/1958,Valentia Observatory,Degrees C,1.4
Lowest Temperature,11/1958,Casement,Degrees C,0
Lowest Temperature,11/1958,Claremorris,Degrees C,0.6
Lowest Temperature,11/1958,Clones,Degrees C,0.3
Lowest Temperature,11/1958,Cork airport,Degrees C,0
Lowest Temperature,11/1958,Dublin airport,Degrees C,1
Lowest Temperature,11/1958,Galway,Degrees C,0
Lowest Temperature,11/1958,Kilkenny,Degrees C,-1.3
Lowest Temperature,11/1958,Malin head,Degrees C,2.1
Lowest Temperature,11/1958,Mullingar,Degrees C,-0.2
Lowest Temperature,11/1958,Roches Point,Degrees C,2.8
Lowest Temperature,11/1958,Rosslare,Degrees C,3.2
Lowest Temperature,11/1958,Shannon airport,Degrees C,0.1
Lowest Temperature,12/1958,Belmullet,Degrees C,-1.6
Lowest Temperature,12/1958,Birr,Degrees C,-4.9
Lowest Temperature,12/1958,Valentia Observatory,Degrees C,-2.1
Lowest Temperature,12/1958,Casement,Degrees C,0
Lowest Temperature,12/1958,Claremorris,Degrees C,-5
Lowest Temperature,12/1958,Clones,Degrees C,-4.4
Lowest Temperature,12/1958,Cork airport,Degrees C,0
Lowest Temperature,12/1958,Dublin airport,Degrees C,-3
Lowest Temperature,12/1958,Galway,Degrees C,0
Lowest Temperature,12/1958,Kilkenny,Degrees C,-4.4
Lowest Temperature,12/1958,Malin head,Degrees C,-0.6
Lowest Temperature,12/1958,Mullingar,Degrees C,-3.7
Lowest Temperature,12/1958,Roches Point,Degrees C,1.4
Lowest Temperature,12/1958,Rosslare,Degrees C,0
Lowest Temperature,12/1958,Shannon airport,Degrees C,-2.9
Lowest Temperature,01/1959,Belmullet,Degrees C,-4.2
Lowest Temperature,01/1959,Birr,Degrees C,-9.1
Lowest Temperature,01/1959,Valentia Observatory,Degrees C,-3.8
Lowest Temperature,01/1959,Casement,Degrees C,0
Lowest Temperature,01/1959,Claremorris,Degrees C,-10.8
Lowest Temperature,01/1959,Clones,Degrees C,-7.7
Lowest Temperature,01/1959,Cork airport,Degrees C,0
Lowest Temperature,01/1959,Dublin airport,Degrees C,-4.6
Lowest Temperature,01/1959,Galway,Degrees C,0
Lowest Temperature,01/1959,Kilkenny,Degrees C,-11.6
Lowest Temperature,01/1959,Malin head,Degrees C,-2.1
Lowest Temperature,01/1959,Mullingar,Degrees C,-7.2
Lowest Temperature,01/1959,Roches Point,Degrees C,-1.2
Lowest Temperature,01/1959,Rosslare,Degrees C,-2
Lowest Temperature,01/1959,Shannon airport,Degrees C,-7.3
Lowest Temperature,02/1959,Belmullet,Degrees C,-3.3
Lowest Temperature,02/1959,Birr,Degrees C,-4.4
Lowest Temperature,02/1959,Valentia Observatory,Degrees C,-2.8
Lowest Temperature,02/1959,Casement,Degrees C,0
Lowest Temperature,02/1959,Claremorris,Degrees C,-5
Lowest Temperature,02/1959,Clones,Degrees C,-5
Lowest Temperature,02/1959,Cork airport,Degrees C,0
Lowest Temperature,02/1959,Dublin airport,Degrees C,-1.6
Lowest Temperature,02/1959,Galway,Degrees C,0
Lowest Temperature,02/1959,Kilkenny,Degrees C,-4
Lowest Temperature,02/1959,Malin head,Degrees C,-2
Lowest Temperature,02/1959,Mullingar,Degrees C,-3.3
Lowest Temperature,02/1959,Roches Point,Degrees C,0.3
Lowest Temperature,02/1959,Rosslare,Degrees C,2.2
Lowest Temperature,02/1959,Shannon airport,Degrees C,-5.6
Lowest Temperature,03/1959,Belmullet,Degrees C,1
Lowest Temperature,03/1959,Birr,Degrees C,-1.4
Lowest Temperature,03/1959,Valentia Observatory,Degrees C,1.7
Lowest Temperature,03/1959,Casement,Degrees C,0
Lowest Temperature,03/1959,Claremorris,Degrees C,-0.6
Lowest Temperature,03/1959,Clones,Degrees C,-0.5
Lowest Temperature,03/1959,Cork airport,Degrees C,0
Lowest Temperature,03/1959,Dublin airport,Degrees C,1.9
Lowest Temperature,03/1959,Galway,Degrees C,0
Lowest Temperature,03/1959,Kilkenny,Degrees C,-2.8
Lowest Temperature,03/1959,Malin head,Degrees C,0.9
Lowest Temperature,03/1959,Mullingar,Degrees C,0.3
Lowest Temperature,03/1959,Roches Point,Degrees C,3.1
Lowest Temperature,03/1959,Rosslare,Degrees C,2.9
