Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,05/1970,Claremorris,Degrees C,2.6
Lowest Temperature,05/1970,Clones,Degrees C,5.7
Lowest Temperature,05/1970,Cork airport,Degrees C,5.2
Lowest Temperature,05/1970,Dublin airport,Degrees C,6.9
Lowest Temperature,05/1970,Galway,Degrees C,0
Lowest Temperature,05/1970,Kilkenny,Degrees C,2.7
Lowest Temperature,05/1970,Malin head,Degrees C,6
Lowest Temperature,05/1970,Mullingar,Degrees C,6.3
Lowest Temperature,05/1970,Roches Point,Degrees C,6.6
Lowest Temperature,05/1970,Rosslare,Degrees C,4.3
Lowest Temperature,05/1970,Shannon airport,Degrees C,7.1
Lowest Temperature,06/1970,Belmullet,Degrees C,7.3
Lowest Temperature,06/1970,Birr,Degrees C,8
Lowest Temperature,06/1970,Valentia Observatory,Degrees C,6.8
Lowest Temperature,06/1970,Casement,Degrees C,5.9
Lowest Temperature,06/1970,Claremorris,Degrees C,5.9
Lowest Temperature,06/1970,Clones,Degrees C,7.1
Lowest Temperature,06/1970,Cork airport,Degrees C,7.7
Lowest Temperature,06/1970,Dublin airport,Degrees C,9.1
Lowest Temperature,06/1970,Galway,Degrees C,0
Lowest Temperature,06/1970,Kilkenny,Degrees C,5.9
Lowest Temperature,06/1970,Malin head,Degrees C,7.7
Lowest Temperature,06/1970,Mullingar,Degrees C,8
Lowest Temperature,06/1970,Roches Point,Degrees C,9.6
Lowest Temperature,06/1970,Rosslare,Degrees C,9.2
Lowest Temperature,06/1970,Shannon airport,Degrees C,9.5
Lowest Temperature,07/1970,Belmullet,Degrees C,6
Lowest Temperature,07/1970,Birr,Degrees C,4.5
Lowest Temperature,07/1970,Valentia Observatory,Degrees C,6.3
Lowest Temperature,07/1970,Casement,Degrees C,4.9
Lowest Temperature,07/1970,Claremorris,Degrees C,4.1
Lowest Temperature,07/1970,Clones,Degrees C,4.9
Lowest Temperature,07/1970,Cork airport,Degrees C,6.6
Lowest Temperature,07/1970,Dublin airport,Degrees C,6.2
Lowest Temperature,07/1970,Galway,Degrees C,0
Lowest Temperature,07/1970,Kilkenny,Degrees C,3
Lowest Temperature,07/1970,Malin head,Degrees C,7.8
Lowest Temperature,07/1970,Mullingar,Degrees C,3.4
Lowest Temperature,07/1970,Roches Point,Degrees C,7.6
Lowest Temperature,07/1970,Rosslare,Degrees C,6.3
Lowest Temperature,07/1970,Shannon airport,Degrees C,7
Lowest Temperature,08/1970,Belmullet,Degrees C,6.3
Lowest Temperature,08/1970,Birr,Degrees C,5.5
Lowest Temperature,08/1970,Valentia Observatory,Degrees C,5.8
Lowest Temperature,08/1970,Casement,Degrees C,5.4
Lowest Temperature,08/1970,Claremorris,Degrees C,4.6
Lowest Temperature,08/1970,Clones,Degrees C,5.6
Lowest Temperature,08/1970,Cork airport,Degrees C,7.8
Lowest Temperature,08/1970,Dublin airport,Degrees C,6.7
Lowest Temperature,08/1970,Galway,Degrees C,0
Lowest Temperature,08/1970,Kilkenny,Degrees C,4.1
Lowest Temperature,08/1970,Malin head,Degrees C,9.5
Lowest Temperature,08/1970,Mullingar,Degrees C,5.8
Lowest Temperature,08/1970,Roches Point,Degrees C,8.4
Lowest Temperature,08/1970,Rosslare,Degrees C,8.1
Lowest Temperature,08/1970,Shannon airport,Degrees C,8.8
Lowest Temperature,09/1970,Belmullet,Degrees C,6.6
Lowest Temperature,09/1970,Birr,Degrees C,3.8
Lowest Temperature,09/1970,Valentia Observatory,Degrees C,4.5
Lowest Temperature,09/1970,Casement,Degrees C,3.9
Lowest Temperature,09/1970,Claremorris,Degrees C,5
Lowest Temperature,09/1970,Clones,Degrees C,4.3
Lowest Temperature,09/1970,Cork airport,Degrees C,6.1
Lowest Temperature,09/1970,Dublin airport,Degrees C,5.4
Lowest Temperature,09/1970,Galway,Degrees C,0
Lowest Temperature,09/1970,Kilkenny,Degrees C,1.4
Lowest Temperature,09/1970,Malin head,Degrees C,7.8
Lowest Temperature,09/1970,Mullingar,Degrees C,2.6
Lowest Temperature,09/1970,Roches Point,Degrees C,7.1
Lowest Temperature,09/1970,Rosslare,Degrees C,7
Lowest Temperature,09/1970,Shannon airport,Degrees C,7
Lowest Temperature,10/1970,Belmullet,Degrees C,4.5
Lowest Temperature,10/1970,Birr,Degrees C,1.4
Lowest Temperature,10/1970,Valentia Observatory,Degrees C,1.5
Lowest Temperature,10/1970,Casement,Degrees C,1.4
Lowest Temperature,10/1970,Claremorris,Degrees C,2
Lowest Temperature,10/1970,Clones,Degrees C,0.6
Lowest Temperature,10/1970,Cork airport,Degrees C,2.6
Lowest Temperature,10/1970,Dublin airport,Degrees C,3.3
Lowest Temperature,10/1970,Galway,Degrees C,0
Lowest Temperature,10/1970,Kilkenny,Degrees C,-2.5
Lowest Temperature,10/1970,Malin head,Degrees C,5.2
Lowest Temperature,10/1970,Mullingar,Degrees C,1.3
Lowest Temperature,10/1970,Roches Point,Degrees C,3.8
Lowest Temperature,10/1970,Rosslare,Degrees C,4
Lowest Temperature,10/1970,Shannon airport,Degrees C,2.6
Lowest Temperature,11/1970,Belmullet,Degrees C,2
Lowest Temperature,11/1970,Birr,Degrees C,-2.9
Lowest Temperature,11/1970,Valentia Observatory,Degrees C,-0.4
Lowest Temperature,11/1970,Casement,Degrees C,-1.8
Lowest Temperature,11/1970,Claremorris,Degrees C,-1
Lowest Temperature,11/1970,Clones,Degrees C,-2.2
Lowest Temperature,11/1970,Cork airport,Degrees C,0.1
Lowest Temperature,11/1970,Dublin airport,Degrees C,-0.4
Lowest Temperature,11/1970,Galway,Degrees C,0
Lowest Temperature,11/1970,Kilkenny,Degrees C,-3.6
Lowest Temperature,11/1970,Malin head,Degrees C,1.7
Lowest Temperature,11/1970,Mullingar,Degrees C,-2.3
Lowest Temperature,11/1970,Roches Point,Degrees C,1.5
Lowest Temperature,11/1970,Rosslare,Degrees C,-0.2
Lowest Temperature,11/1970,Shannon airport,Degrees C,-1.2
Lowest Temperature,12/1970,Belmullet,Degrees C,-2.1
Lowest Temperature,12/1970,Birr,Degrees C,-6.2
Lowest Temperature,12/1970,Valentia Observatory,Degrees C,-2.2
Lowest Temperature,12/1970,Casement,Degrees C,-4.7
Lowest Temperature,12/1970,Claremorris,Degrees C,-4
Lowest Temperature,12/1970,Clones,Degrees C,-3
Lowest Temperature,12/1970,Cork airport,Degrees C,-4.6
Lowest Temperature,12/1970,Dublin airport,Degrees C,-2.7
Lowest Temperature,12/1970,Galway,Degrees C,0
Lowest Temperature,12/1970,Kilkenny,Degrees C,-6
Lowest Temperature,12/1970,Malin head,Degrees C,1.1
Lowest Temperature,12/1970,Mullingar,Degrees C,-4.9
Lowest Temperature,12/1970,Roches Point,Degrees C,-1.3
Lowest Temperature,12/1970,Rosslare,Degrees C,-0.4
Lowest Temperature,12/1970,Shannon airport,Degrees C,-3.7
Lowest Temperature,01/1971,Belmullet,Degrees C,0.9
Lowest Temperature,01/1971,Birr,Degrees C,-4.1
Lowest Temperature,01/1971,Valentia Observatory,Degrees C,-1.4
Lowest Temperature,01/1971,Casement,Degrees C,-5.7
Lowest Temperature,01/1971,Claremorris,Degrees C,-4.2
Lowest Temperature,01/1971,Clones,Degrees C,-5
Lowest Temperature,01/1971,Cork airport,Degrees C,-2.5
Lowest Temperature,01/1971,Dublin airport,Degrees C,-3.7
Lowest Temperature,01/1971,Galway,Degrees C,0
Lowest Temperature,01/1971,Kilkenny,Degrees C,-5.1
Lowest Temperature,01/1971,Malin head,Degrees C,-0.9
Lowest Temperature,01/1971,Mullingar,Degrees C,-4.2
Lowest Temperature,01/1971,Roches Point,Degrees C,-0.7
Lowest Temperature,01/1971,Rosslare,Degrees C,-1.1
Lowest Temperature,01/1971,Shannon airport,Degrees C,-2.8
Lowest Temperature,02/1971,Belmullet,Degrees C,-1.7
Lowest Temperature,02/1971,Birr,Degrees C,-5
Lowest Temperature,02/1971,Valentia Observatory,Degrees C,-3.2
Lowest Temperature,02/1971,Casement,Degrees C,-5.7
Lowest Temperature,02/1971,Claremorris,Degrees C,-4.7
Lowest Temperature,02/1971,Clones,Degrees C,-3.9
Lowest Temperature,02/1971,Cork airport,Degrees C,-2.9
Lowest Temperature,02/1971,Dublin airport,Degrees C,-2.7
Lowest Temperature,02/1971,Galway,Degrees C,0
Lowest Temperature,02/1971,Kilkenny,Degrees C,-5.1
Lowest Temperature,02/1971,Malin head,Degrees C,-0.4
Lowest Temperature,02/1971,Mullingar,Degrees C,-4.5
Lowest Temperature,02/1971,Roches Point,Degrees C,-1.4
Lowest Temperature,02/1971,Rosslare,Degrees C,-1.6
Lowest Temperature,02/1971,Shannon airport,Degrees C,-2.9
Lowest Temperature,03/1971,Belmullet,Degrees C,0.3
Lowest Temperature,03/1971,Birr,Degrees C,-4.2
Lowest Temperature,03/1971,Valentia Observatory,Degrees C,-1.5
Lowest Temperature,03/1971,Casement,Degrees C,-3
Lowest Temperature,03/1971,Claremorris,Degrees C,-3.4
Lowest Temperature,03/1971,Clones,Degrees C,-3.1
Lowest Temperature,03/1971,Cork airport,Degrees C,-2
Lowest Temperature,03/1971,Dublin airport,Degrees C,0.5
Lowest Temperature,03/1971,Galway,Degrees C,0
Lowest Temperature,03/1971,Kilkenny,Degrees C,-3.7
Lowest Temperature,03/1971,Malin head,Degrees C,0.3
Lowest Temperature,03/1971,Mullingar,Degrees C,-1.4
Lowest Temperature,03/1971,Roches Point,Degrees C,0.6
Lowest Temperature,03/1971,Rosslare,Degrees C,-0.5
Lowest Temperature,03/1971,Shannon airport,Degrees C,-1.5
Lowest Temperature,04/1971,Belmullet,Degrees C,1
Lowest Temperature,04/1971,Birr,Degrees C,-2.4
Lowest Temperature,04/1971,Valentia Observatory,Degrees C,-0.3
Lowest Temperature,04/1971,Casement,Degrees C,-2
Lowest Temperature,04/1971,Claremorris,Degrees C,-1
Lowest Temperature,04/1971,Clones,Degrees C,-0.8
Lowest Temperature,04/1971,Cork airport,Degrees C,0.7
Lowest Temperature,04/1971,Dublin airport,Degrees C,0.7
Lowest Temperature,04/1971,Galway,Degrees C,0
Lowest Temperature,04/1971,Kilkenny,Degrees C,-2.7
Lowest Temperature,04/1971,Malin head,Degrees C,2.4
Lowest Temperature,04/1971,Mullingar,Degrees C,-0.7
Lowest Temperature,04/1971,Roches Point,Degrees C,1.9
Lowest Temperature,04/1971,Rosslare,Degrees C,1.8
Lowest Temperature,04/1971,Shannon airport,Degrees C,0.1
Lowest Temperature,05/1971,Belmullet,Degrees C,2.5
Lowest Temperature,05/1971,Birr,Degrees C,0.8
Lowest Temperature,05/1971,Valentia Observatory,Degrees C,2.4
Lowest Temperature,05/1971,Casement,Degrees C,-0.8
Lowest Temperature,05/1971,Claremorris,Degrees C,-0.4
Lowest Temperature,05/1971,Clones,Degrees C,1.8
Lowest Temperature,05/1971,Cork airport,Degrees C,3.2
Lowest Temperature,05/1971,Dublin airport,Degrees C,3
Lowest Temperature,05/1971,Galway,Degrees C,0
Lowest Temperature,05/1971,Kilkenny,Degrees C,-1.3
Lowest Temperature,05/1971,Malin head,Degrees C,4
Lowest Temperature,05/1971,Mullingar,Degrees C,0.1
Lowest Temperature,05/1971,Roches Point,Degrees C,5.2
Lowest Temperature,05/1971,Rosslare,Degrees C,3.2
Lowest Temperature,05/1971,Shannon airport,Degrees C,3
Lowest Temperature,06/1971,Belmullet,Degrees C,4.3
Lowest Temperature,06/1971,Birr,Degrees C,3.8
Lowest Temperature,06/1971,Valentia Observatory,Degrees C,7.6
Lowest Temperature,06/1971,Casement,Degrees C,2.1
Lowest Temperature,06/1971,Claremorris,Degrees C,3.2
Lowest Temperature,06/1971,Clones,Degrees C,4.8
Lowest Temperature,06/1971,Cork airport,Degrees C,4.2
Lowest Temperature,06/1971,Dublin airport,Degrees C,3.9
Lowest Temperature,06/1971,Galway,Degrees C,0
Lowest Temperature,06/1971,Kilkenny,Degrees C,2.3
Lowest Temperature,06/1971,Malin head,Degrees C,6.9
Lowest Temperature,06/1971,Mullingar,Degrees C,3.1
Lowest Temperature,06/1971,Roches Point,Degrees C,6.6
Lowest Temperature,06/1971,Rosslare,Degrees C,6.7
Lowest Temperature,06/1971,Shannon airport,Degrees C,5.6
Lowest Temperature,07/1971,Belmullet,Degrees C,5.2
Lowest Temperature,07/1971,Birr,Degrees C,3.1
Lowest Temperature,07/1971,Valentia Observatory,Degrees C,7.1
Lowest Temperature,07/1971,Casement,Degrees C,2.5
Lowest Temperature,07/1971,Claremorris,Degrees C,0.6
Lowest Temperature,07/1971,Clones,Degrees C,4.3
Lowest Temperature,07/1971,Cork airport,Degrees C,7.3
Lowest Temperature,07/1971,Dublin airport,Degrees C,5.4
Lowest Temperature,07/1971,Galway,Degrees C,0
Lowest Temperature,07/1971,Kilkenny,Degrees C,3.1
Lowest Temperature,07/1971,Malin head,Degrees C,6.6
Lowest Temperature,07/1971,Mullingar,Degrees C,5.7
Lowest Temperature,07/1971,Roches Point,Degrees C,9.2
Lowest Temperature,07/1971,Rosslare,Degrees C,10
Lowest Temperature,07/1971,Shannon airport,Degrees C,6.1
Lowest Temperature,08/1971,Belmullet,Degrees C,6.8
Lowest Temperature,08/1971,Birr,Degrees C,3.8
Lowest Temperature,08/1971,Valentia Observatory,Degrees C,4.9
Lowest Temperature,08/1971,Casement,Degrees C,4.9
Lowest Temperature,08/1971,Claremorris,Degrees C,4.6
Lowest Temperature,08/1971,Clones,Degrees C,5.8
Lowest Temperature,08/1971,Cork airport,Degrees C,7.1
Lowest Temperature,08/1971,Dublin airport,Degrees C,7.2
Lowest Temperature,08/1971,Galway,Degrees C,0
Lowest Temperature,08/1971,Kilkenny,Degrees C,2.8
Lowest Temperature,08/1971,Malin head,Degrees C,9.3
Lowest Temperature,08/1971,Mullingar,Degrees C,4.3
Lowest Temperature,08/1971,Roches Point,Degrees C,9.3
Lowest Temperature,08/1971,Rosslare,Degrees C,7.5
Lowest Temperature,08/1971,Shannon airport,Degrees C,6.7
Lowest Temperature,09/1971,Belmullet,Degrees C,3.7
Lowest Temperature,09/1971,Birr,Degrees C,2.2
Lowest Temperature,09/1971,Valentia Observatory,Degrees C,6.4
Lowest Temperature,09/1971,Casement,Degrees C,2.7
Lowest Temperature,09/1971,Claremorris,Degrees C,0.5
Lowest Temperature,09/1971,Clones,Degrees C,0.3
Lowest Temperature,09/1971,Cork airport,Degrees C,6.5
Lowest Temperature,09/1971,Dublin airport,Degrees C,5.1
Lowest Temperature,09/1971,Galway,Degrees C,0
Lowest Temperature,09/1971,Kilkenny,Degrees C,1.9
Lowest Temperature,09/1971,Malin head,Degrees C,7.5
Lowest Temperature,09/1971,Mullingar,Degrees C,2.7
Lowest Temperature,09/1971,Roches Point,Degrees C,8.3
Lowest Temperature,09/1971,Rosslare,Degrees C,8.5
Lowest Temperature,09/1971,Shannon airport,Degrees C,5.6
Lowest Temperature,10/1971,Belmullet,Degrees C,1.5
Lowest Temperature,10/1971,Birr,Degrees C,-1.7
Lowest Temperature,10/1971,Valentia Observatory,Degrees C,2.7
Lowest Temperature,10/1971,Casement,Degrees C,-0.7
Lowest Temperature,10/1971,Claremorris,Degrees C,-1.3
Lowest Temperature,10/1971,Clones,Degrees C,-1.3
Lowest Temperature,10/1971,Cork airport,Degrees C,2.9
Lowest Temperature,10/1971,Dublin airport,Degrees C,3.7
Lowest Temperature,10/1971,Galway,Degrees C,0
Lowest Temperature,10/1971,Kilkenny,Degrees C,-1.5
Lowest Temperature,10/1971,Malin head,Degrees C,1.3
Lowest Temperature,10/1971,Mullingar,Degrees C,0.2
Lowest Temperature,10/1971,Roches Point,Degrees C,5.2
Lowest Temperature,10/1971,Rosslare,Degrees C,6.6
Lowest Temperature,10/1971,Shannon airport,Degrees C,1.9
Lowest Temperature,11/1971,Belmullet,Degrees C,0.8
Lowest Temperature,11/1971,Birr,Degrees C,-2.9
Lowest Temperature,11/1971,Valentia Observatory,Degrees C,1.1
Lowest Temperature,11/1971,Casement,Degrees C,-3.8
Lowest Temperature,11/1971,Claremorris,Degrees C,-2.1
Lowest Temperature,11/1971,Clones,Degrees C,-4.4
Lowest Temperature,11/1971,Cork airport,Degrees C,-1.2
Lowest Temperature,11/1971,Dublin airport,Degrees C,-1.8
Lowest Temperature,11/1971,Galway,Degrees C,0
Lowest Temperature,11/1971,Kilkenny,Degrees C,-6.2
Lowest Temperature,11/1971,Malin head,Degrees C,0.3
Lowest Temperature,11/1971,Mullingar,Degrees C,-3.1
Lowest Temperature,11/1971,Roches Point,Degrees C,0.6
Lowest Temperature,11/1971,Rosslare,Degrees C,-1.6
Lowest Temperature,11/1971,Shannon airport,Degrees C,-0.3
Lowest Temperature,12/1971,Belmullet,Degrees C,-2
Lowest Temperature,12/1971,Birr,Degrees C,-3.7
Lowest Temperature,12/1971,Valentia Observatory,Degrees C,-1.4
Lowest Temperature,12/1971,Casement,Degrees C,-3.7
Lowest Temperature,12/1971,Claremorris,Degrees C,-2.5
Lowest Temperature,12/1971,Clones,Degrees C,-1.9
Lowest Temperature,12/1971,Cork airport,Degrees C,-1.6
Lowest Temperature,12/1971,Dublin airport,Degrees C,-0.1
Lowest Temperature,12/1971,Galway,Degrees C,0
Lowest Temperature,12/1971,Kilkenny,Degrees C,-4.6
Lowest Temperature,12/1971,Malin head,Degrees C,2.4
Lowest Temperature,12/1971,Mullingar,Degrees C,-2.6
Lowest Temperature,12/1971,Roches Point,Degrees C,0.7
Lowest Temperature,12/1971,Rosslare,Degrees C,1.8
Lowest Temperature,12/1971,Shannon airport,Degrees C,-0.4
Lowest Temperature,01/1972,Belmullet,Degrees C,-4.7
Lowest Temperature,01/1972,Birr,Degrees C,-6.2
Lowest Temperature,01/1972,Valentia Observatory,Degrees C,-3.2
Lowest Temperature,01/1972,Casement,Degrees C,-8.1
Lowest Temperature,01/1972,Claremorris,Degrees C,-6.1
Lowest Temperature,01/1972,Clones,Degrees C,-8
Lowest Temperature,01/1972,Cork airport,Degrees C,-2.5
Lowest Temperature,01/1972,Dublin airport,Degrees C,-8.8
Lowest Temperature,01/1972,Galway,Degrees C,0
Lowest Temperature,01/1972,Kilkenny,Degrees C,-6.7
Lowest Temperature,01/1972,Malin head,Degrees C,-5.3
Lowest Temperature,01/1972,Mullingar,Degrees C,-8.1
Lowest Temperature,01/1972,Roches Point,Degrees C,-1.4
Lowest Temperature,01/1972,Rosslare,Degrees C,-1.1
Lowest Temperature,01/1972,Shannon airport,Degrees C,-2.3
Lowest Temperature,02/1972,Belmullet,Degrees C,-1
Lowest Temperature,02/1972,Birr,Degrees C,-0.7
Lowest Temperature,02/1972,Valentia Observatory,Degrees C,-0.6
Lowest Temperature,02/1972,Casement,Degrees C,-0.8
Lowest Temperature,02/1972,Claremorris,Degrees C,-1.7
Lowest Temperature,02/1972,Clones,Degrees C,-0.6
Lowest Temperature,02/1972,Cork airport,Degrees C,-0.8
Lowest Temperature,02/1972,Dublin airport,Degrees C,0.7
Lowest Temperature,02/1972,Galway,Degrees C,0
Lowest Temperature,02/1972,Kilkenny,Degrees C,-4.4
Lowest Temperature,02/1972,Malin head,Degrees C,-1.1
Lowest Temperature,02/1972,Mullingar,Degrees C,-1.4
Lowest Temperature,02/1972,Roches Point,Degrees C,1.1
Lowest Temperature,02/1972,Rosslare,Degrees C,-0.1
Lowest Temperature,02/1972,Shannon airport,Degrees C,-0.1
Lowest Temperature,03/1972,Belmullet,Degrees C,-1
Lowest Temperature,03/1972,Birr,Degrees C,-3.4
Lowest Temperature,03/1972,Valentia Observatory,Degrees C,-0.9
Lowest Temperature,03/1972,Casement,Degrees C,-2.5
Lowest Temperature,03/1972,Claremorris,Degrees C,-3
Lowest Temperature,03/1972,Clones,Degrees C,-1.9
Lowest Temperature,03/1972,Cork airport,Degrees C,-1.9
Lowest Temperature,03/1972,Dublin airport,Degrees C,0
Lowest Temperature,03/1972,Galway,Degrees C,0
Lowest Temperature,03/1972,Kilkenny,Degrees C,-3
Lowest Temperature,03/1972,Malin head,Degrees C,-0.5
Lowest Temperature,03/1972,Mullingar,Degrees C,-1.3
Lowest Temperature,03/1972,Roches Point,Degrees C,0.4
Lowest Temperature,03/1972,Rosslare,Degrees C,-0.4
Lowest Temperature,03/1972,Shannon airport,Degrees C,-0.4
Lowest Temperature,04/1972,Belmullet,Degrees C,1.2
Lowest Temperature,04/1972,Birr,Degrees C,-2.4
Lowest Temperature,04/1972,Valentia Observatory,Degrees C,0.6
Lowest Temperature,04/1972,Casement,Degrees C,-1.3
Lowest Temperature,04/1972,Claremorris,Degrees C,-1.4
Lowest Temperature,04/1972,Clones,Degrees C,0
Lowest Temperature,04/1972,Cork airport,Degrees C,1.3
Lowest Temperature,04/1972,Dublin airport,Degrees C,1.9
Lowest Temperature,04/1972,Galway,Degrees C,0
Lowest Temperature,04/1972,Kilkenny,Degrees C,-1.3
Lowest Temperature,04/1972,Malin head,Degrees C,2.7
Lowest Temperature,04/1972,Mullingar,Degrees C,-0.2
Lowest Temperature,04/1972,Roches Point,Degrees C,3.3
Lowest Temperature,04/1972,Rosslare,Degrees C,3.7
Lowest Temperature,04/1972,Shannon airport,Degrees C,1.1
Lowest Temperature,05/1972,Belmullet,Degrees C,4.5
Lowest Temperature,05/1972,Birr,Degrees C,0.1
Lowest Temperature,05/1972,Valentia Observatory,Degrees C,2.9
Lowest Temperature,05/1972,Casement,Degrees C,0.7
Lowest Temperature,05/1972,Claremorris,Degrees C,0.6
Lowest Temperature,05/1972,Clones,Degrees C,2.7
Lowest Temperature,05/1972,Cork airport,Degrees C,2.6
Lowest Temperature,05/1972,Dublin airport,Degrees C,3.1
Lowest Temperature,05/1972,Galway,Degrees C,0
Lowest Temperature,05/1972,Kilkenny,Degrees C,1
Lowest Temperature,05/1972,Malin head,Degrees C,3.4
Lowest Temperature,05/1972,Mullingar,Degrees C,1.6
Lowest Temperature,05/1972,Roches Point,Degrees C,4.1
Lowest Temperature,05/1972,Rosslare,Degrees C,4.3
Lowest Temperature,05/1972,Shannon airport,Degrees C,2.4
Lowest Temperature,06/1972,Belmullet,Degrees C,4.6
Lowest Temperature,06/1972,Birr,Degrees C,4.2
Lowest Temperature,06/1972,Valentia Observatory,Degrees C,6
Lowest Temperature,06/1972,Casement,Degrees C,3.7
Lowest Temperature,06/1972,Claremorris,Degrees C,1.9
Lowest Temperature,06/1972,Clones,Degrees C,2.5
Lowest Temperature,06/1972,Cork airport,Degrees C,4.3
Lowest Temperature,06/1972,Dublin airport,Degrees C,5.1
Lowest Temperature,06/1972,Galway,Degrees C,0
Lowest Temperature,06/1972,Kilkenny,Degrees C,0.5
Lowest Temperature,06/1972,Malin head,Degrees C,3.6
Lowest Temperature,06/1972,Mullingar,Degrees C,3.1
Lowest Temperature,06/1972,Roches Point,Degrees C,5.1
Lowest Temperature,06/1972,Rosslare,Degrees C,5.3
Lowest Temperature,06/1972,Shannon airport,Degrees C,5.1
Lowest Temperature,07/1972,Belmullet,Degrees C,5.3
Lowest Temperature,07/1972,Birr,Degrees C,6.6
Lowest Temperature,07/1972,Valentia Observatory,Degrees C,8.8
Lowest Temperature,07/1972,Casement,Degrees C,5.7
Lowest Temperature,07/1972,Claremorris,Degrees C,4.8
Lowest Temperature,07/1972,Clones,Degrees C,6.2
Lowest Temperature,07/1972,Cork airport,Degrees C,7.1
Lowest Temperature,07/1972,Dublin airport,Degrees C,7
Lowest Temperature,07/1972,Galway,Degrees C,0
Lowest Temperature,07/1972,Kilkenny,Degrees C,4.4
Lowest Temperature,07/1972,Malin head,Degrees C,6.3
Lowest Temperature,07/1972,Mullingar,Degrees C,5.1
Lowest Temperature,07/1972,Roches Point,Degrees C,8.2
Lowest Temperature,07/1972,Rosslare,Degrees C,7
Lowest Temperature,07/1972,Shannon airport,Degrees C,8.7
Lowest Temperature,08/1972,Belmullet,Degrees C,5.3
Lowest Temperature,08/1972,Birr,Degrees C,3.7
Lowest Temperature,08/1972,Valentia Observatory,Degrees C,5.5
Lowest Temperature,08/1972,Casement,Degrees C,4.7
Lowest Temperature,08/1972,Claremorris,Degrees C,3.2
Lowest Temperature,08/1972,Clones,Degrees C,2.9
Lowest Temperature,08/1972,Cork airport,Degrees C,5.6
Lowest Temperature,08/1972,Dublin airport,Degrees C,6.5
Lowest Temperature,08/1972,Galway,Degrees C,0
Lowest Temperature,08/1972,Kilkenny,Degrees C,2.3
Lowest Temperature,08/1972,Malin head,Degrees C,6.9
Lowest Temperature,08/1972,Mullingar,Degrees C,4.8
Lowest Temperature,08/1972,Roches Point,Degrees C,6.9
Lowest Temperature,08/1972,Rosslare,Degrees C,6.3
Lowest Temperature,08/1972,Shannon airport,Degrees C,6.8
Lowest Temperature,09/1972,Belmullet,Degrees C,2.2
Lowest Temperature,09/1972,Birr,Degrees C,-0.8
Lowest Temperature,09/1972,Valentia Observatory,Degrees C,3.4
Lowest Temperature,09/1972,Casement,Degrees C,-0.3
Lowest Temperature,09/1972,Claremorris,Degrees C,-1.2
Lowest Temperature,09/1972,Clones,Degrees C,0
Lowest Temperature,09/1972,Cork airport,Degrees C,2.5
Lowest Temperature,09/1972,Dublin airport,Degrees C,2.4
Lowest Temperature,09/1972,Galway,Degrees C,0
Lowest Temperature,09/1972,Kilkenny,Degrees C,-1.6
Lowest Temperature,09/1972,Malin head,Degrees C,3.6
Lowest Temperature,09/1972,Mullingar,Degrees C,1.3
Lowest Temperature,09/1972,Roches Point,Degrees C,5.1
Lowest Temperature,09/1972,Rosslare,Degrees C,3.6
Lowest Temperature,09/1972,Shannon airport,Degrees C,2.5
Lowest Temperature,10/1972,Belmullet,Degrees C,3.5
Lowest Temperature,10/1972,Birr,Degrees C,-2.3
Lowest Temperature,10/1972,Valentia Observatory,Degrees C,0.5
Lowest Temperature,10/1972,Casement,Degrees C,-0.2
Lowest Temperature,10/1972,Claremorris,Degrees C,0.2
Lowest Temperature,10/1972,Clones,Degrees C,3.2
Lowest Temperature,10/1972,Cork airport,Degrees C,0.4
Lowest Temperature,10/1972,Dublin airport,Degrees C,1.4
Lowest Temperature,10/1972,Galway,Degrees C,0
Lowest Temperature,10/1972,Kilkenny,Degrees C,-1.5
Lowest Temperature,10/1972,Malin head,Degrees C,4.6
Lowest Temperature,10/1972,Mullingar,Degrees C,-0.7
Lowest Temperature,10/1972,Roches Point,Degrees C,2.5
Lowest Temperature,10/1972,Rosslare,Degrees C,4.4
Lowest Temperature,10/1972,Shannon airport,Degrees C,1
Lowest Temperature,11/1972,Belmullet,Degrees C,-0.6
Lowest Temperature,11/1972,Birr,Degrees C,-7.2
Lowest Temperature,11/1972,Valentia Observatory,Degrees C,-2.5
Lowest Temperature,11/1972,Casement,Degrees C,-5.7
Lowest Temperature,11/1972,Claremorris,Degrees C,-4.5
Lowest Temperature,11/1972,Clones,Degrees C,-4.2
Lowest Temperature,11/1972,Cork airport,Degrees C,-2
Lowest Temperature,11/1972,Dublin airport,Degrees C,-3.4
Lowest Temperature,11/1972,Galway,Degrees C,0
Lowest Temperature,11/1972,Kilkenny,Degrees C,-6.9
Lowest Temperature,11/1972,Malin head,Degrees C,0
Lowest Temperature,11/1972,Mullingar,Degrees C,-4.9
Lowest Temperature,11/1972,Roches Point,Degrees C,-0.3
Lowest Temperature,11/1972,Rosslare,Degrees C,-0.8
Lowest Temperature,11/1972,Shannon airport,Degrees C,-2.6
Lowest Temperature,12/1972,Belmullet,Degrees C,-0.6
Lowest Temperature,12/1972,Birr,Degrees C,-6.2
Lowest Temperature,12/1972,Valentia Observatory,Degrees C,-1.7
Lowest Temperature,12/1972,Casement,Degrees C,-5.5
Lowest Temperature,12/1972,Claremorris,Degrees C,-5.1
Lowest Temperature,12/1972,Clones,Degrees C,-4.9
Lowest Temperature,12/1972,Cork airport,Degrees C,-2.3
